#{"t_start": 1729969300.7395728, "env_id": "None"}
r,l,t
45.45732,126,1.413979
0.420431,4,1.51676
-0.5,1,1.615731
0.348667,4,1.719096
1.461818,8,1.834026
42.991757,123,2.294968
40.660323,119,2.730973
0.434193,4,2.834002
40.831254,112,3.25352
0.986947,6,3.366511
-0.165895,2,3.469103
-0.5,1,3.563494
0.71541,5,3.674284
0.699957,5,3.782342
0.673151,5,3.890212
0.643933,5,3.99504
-0.5,1,4.088521
-0.5,1,4.183619
50.165802,142,4.668701
46.757793,137,5.153338
42.569039,122,5.599495
35.852282,107,5.984533
-0.5,1,6.079646
45.568333,138,6.573852
36.875948,103,7.038939
0.08286,3,7.148111
47.288862,135,7.657892
-0.208019,2,7.758521
42.612844,118,8.218674
0.048595,3,8.346715
1.316536,7,8.469142
2.477491,11,8.605612
14.224257,46,8.845004
41.204116,127,9.369012
-0.5,1,9.478523
42.083119,121,9.944808
-0.5,1,10.045461
-0.5,1,10.142509
42.523321,123,10.591499
40.899917,119,11.781911
2.642992,12,11.902141
44.772317,133,12.394624
35.821952,105,12.772939
-0.5,1,12.864033
42.919749,128,13.309062
41.200275,116,13.719566
0.370955,4,13.818489
42.010955,120,14.23858
42.276785,119,14.660863
44.221788,126,15.129879
0.948313,6,15.238039
0.164626,3,15.330978
39.779583,119,15.737995
39.076869,111,16.126103
-0.5,1,16.217992
-0.5,1,16.306557
-0.5,1,16.398178
5.58049,20,16.542561
-0.5,1,16.630514
0.713138,5,16.75964
39.300858,115,17.164699
1.021162,6,17.268035
-0.5,1,17.356561
39.191915,116,17.770031
0.373152,4,17.867576
0.092299,3,17.965053
41.978785,124,18.421538
-0.5,1,18.511992
0.402581,4,18.609607
45.281247,130,19.07351
37.669065,108,19.473777
41.711844,121,19.913001
50.066685,149,21.117582
-0.5,1,21.213091
0.692189,5,21.313976
0.080444,3,21.410894
0.872936,6,21.515584
-0.5,1,21.606283
0.558313,4,21.705917
46.702239,134,22.216657
39.171828,110,22.659805
48.960781,141,23.158605
39.604511,111,23.581688
-0.170123,2,23.673043
39.131367,108,24.113817
0.67127,5,25.178395
21.333864,63,25.471682
0.619932,5,25.574372
-0.5,1,25.66528
